timestamp,latitude,longitude,sog,cog,heel,trim,Tack
2025-11-23T09:35:26.083-0500,28.384848099999999,-80.638662,4.5,245.7,-7,6.4,S
2025-11-23T09:35:26.557-0500,28.384841899999998,-80.6386713,4.5,246,-7.8,6,S
2025-11-23T09:35:27.087-0500,28.384836399999998,-80.6386806,4.4,246.8,-4.4,6.1,S
2025-11-23T09:35:27.559-0500,28.384830399999998,-80.6386901,4.4,245.7,-8.5,4.9,S
2025-11-23T09:35:28.059-0500,28.384824399999999,-80.6386995,4.4,247.7,-7.7,6.6,S
2025-11-23T09:35:28.557-0500,28.384818299999999,-80.6387093,4.5,248.2,-9.7,5.9,S
2025-11-23T09:35:29.068-0500,28.384812300000000,-80.6387195,4.6,249.3,-8.7,5.5,S
2025-11-23T09:35:29.546-0500,28.384805999999998,-80.6387296,4.7,249.4,-10.7,5,S
2025-11-23T09:35:30.067-0500,28.384800100000000,-80.6387401,4.7,250.3,-7.3,6,S
2025-11-23T09:35:30.561-0500,28.384794199999998,-80.6387505,4.8,250.3,-11,5.6,S
2025-11-23T09:35:31.071-0500,28.384788199999999,-80.638761,4.8,249.5,-7.9,6,S
2025-11-23T09:35:31.556-0500,28.384782599999998,-80.6387716,4.8,249.4,-8.2,5.5,S
2025-11-23T09:35:32.086-0500,28.384776799999997,-80.638782,4.8,248.7,-7.9,6.4,S
2025-11-23T09:35:32.556-0500,28.384770799999998,-80.6387924,4.7,249,-8.5,5.6,S
2025-11-23T09:35:33.056-0500,28.384765099999999,-80.638803,4.7,250.3,-6.3,5.8,S
2025-11-23T09:35:33.557-0500,28.384758999999999,-80.6388135,4.8,250.4,-13,5.1,S
2025-11-23T09:35:34.060-0500,28.384753499999999,-80.6388242,4.7,253.3,-11.4,7.7,S
2025-11-23T09:35:34.557-0500,28.384748099999999,-80.6388352,4.7,255.1,-9.1,6.1,S
2025-11-23T09:35:35.064-0500,28.384742499999998,-80.6388462,4.8,255.1,-11.7,3.8,S
2025-11-23T09:35:35.555-0500,28.384737699999999,-80.6388574,4.8,256.4,-6.3,6.3,S
2025-11-23T09:35:36.067-0500,28.384732699999997,-80.6388687,4.8,256.3,-7.1,5.1,S
2025-11-23T09:35:36.556-0500,28.384727299999998,-80.63888,4.8,256,-7.9,5.1,S
2025-11-23T09:35:37.071-0500,28.384721899999999,-80.6388915,4.9,257.1,-7.2,8,S
2025-11-23T09:35:37.555-0500,28.384716599999997,-80.6389031,5,257.2,-11.1,5.4,S
2025-11-23T09:35:38.084-0500,28.384711700000000,-80.6389146,5,258.5,-10.8,6.2,S
2025-11-23T09:35:38.556-0500,28.384706899999998,-80.6389265,4.9,258.5,-7.2,4.9,S
2025-11-23T09:35:39.059-0500,28.384702399999998,-80.6389382,4.9,257.6,-5.1,8.1,S
2025-11-23T09:35:39.557-0500,28.384697599999999,-80.6389499,4.9,258.6,-8.4,4.6,S
2025-11-23T09:35:40.064-0500,28.384692800000000,-80.6389613,4.9,258.5,-5.7,6.9,S
2025-11-23T09:35:40.556-0500,28.384688199999999,-80.638973,4.9,260.1,-4.2,4.5,S
2025-11-23T09:35:41.069-0500,28.384684300000000,-80.6389846,4.8,259,-1.5,6.2,S
2025-11-23T09:35:41.556-0500,28.384680099999997,-80.6389956,4.7,258,-1.3,5.1,S
2025-11-23T09:35:42.068-0500,28.384675200000000,-80.6390067,4.6,257.5,-3.6,4,S
2025-11-23T09:35:42.557-0500,28.384670499999999,-80.6390175,4.6,257.1,-3,5.4,S
2025-11-23T09:35:43.072-0500,28.384665599999998,-80.6390282,4.6,255.4,-2.7,6.7,S
2025-11-23T09:35:43.557-0500,28.384660199999999,-80.6390392,4.7,255.8,-5.6,5.3,S
2025-11-23T09:35:44.083-0500,28.384654999999999,-80.6390503,4.8,254.9,-2.3,5.5,S
2025-11-23T09:35:44.556-0500,28.384649300000000,-80.639061,4.8,253.7,-4.7,5.9,S
2025-11-23T09:35:45.057-0500,28.384644099999999,-80.6390719,4.7,253.3,-0.3,7,S
2025-11-23T09:35:45.556-0500,28.384638899999999,-80.6390826,4.7,251.1,-0.8,4,S
2025-11-23T09:35:46.064-0500,28.384633500000000,-80.6390927,4.6,250.8,-0.5,6.2,S
2025-11-23T09:35:46.548-0500,28.384627999999999,-80.6391031,4.6,250.4,2.6,6,S
2025-11-23T09:35:47.066-0500,28.384622399999998,-80.6391132,4.5,248.5,-0.2,4.2,S
2025-11-23T09:35:47.556-0500,28.384616399999999,-80.6391231,4.5,248.9,-1.2,5.5,S
2025-11-23T09:35:48.068-0500,28.384610700000000,-80.639133,4.5,248.6,3.9,3.8,S
2025-11-23T09:35:48.556-0500,28.384604699999997,-80.6391424,4.4,247.1,-2,8.7,S
2025-11-23T09:35:49.083-0500,28.384599099999999,-80.6391516,4.4,247.7,-0.3,4.9,S
2025-11-23T09:35:49.557-0500,28.384593100000000,-80.6391611,4.4,248.8,-0.3,5.6,S
2025-11-23T09:35:50.083-0500,28.384587399999997,-80.6391705,4.4,247.3,0.2,6.9,S
2025-11-23T09:35:50.556-0500,28.384581499999999,-80.6391796,4.4,247.8,-0.4,2.1,S
2025-11-23T09:35:51.060-0500,28.384575800000000,-80.6391887,4.3,247.6,-0.8,7.9,S
2025-11-23T09:35:51.559-0500,28.384570199999999,-80.639198,4.2,246.2,1,4.5,S
2025-11-23T09:35:52.064-0500,28.384564099999999,-80.639207,4.3,246.7,-1.9,3.9,S
2025-11-23T09:35:52.546-0500,28.384558299999998,-80.6392161,4.3,246.3,-0.6,6.4,S
2025-11-23T09:35:53.070-0500,28.384552199999998,-80.639225,4.3,246.5,-4.7,7.2,S
2025-11-23T09:35:53.555-0500,28.384546300000000,-80.639234,4.2,245.8,-3,5.4,S
2025-11-23T09:35:54.071-0500,28.384540200000000,-80.6392431,4.3,247.3,-2.6,5.8,S
2025-11-23T09:35:54.557-0500,28.384534499999997,-80.6392523,4.3,246.6,-1.7,6.3,S
2025-11-23T09:35:55.083-0500,28.384528299999999,-80.6392612,4.3,245.7,-5.8,4.8,S
2025-11-23T09:35:55.557-0500,28.384522099999998,-80.6392701,4.3,246.4,-2.7,7,S
2025-11-23T09:35:56.057-0500,28.384516099999999,-80.6392791,4.3,246.7,-7,5.3,S
2025-11-23T09:35:56.555-0500,28.384510100000000,-80.6392884,4.4,247,-7.2,5.9,S
2025-11-23T09:35:57.060-0500,28.384503899999999,-80.6392983,4.4,247.9,-3.9,4.4,S
2025-11-23T09:35:57.555-0500,28.384497699999997,-80.6393076,4.5,246.4,-6.9,7.8,S
2025-11-23T09:35:58.063-0500,28.384491600000000,-80.6393172,4.5,247.6,-5.8,4.7,S
2025-11-23T09:35:58.556-0500,28.384485699999999,-80.6393268,4.5,247.9,-5.4,6.8,S
2025-11-23T09:35:59.068-0500,28.384480000000000,-80.6393366,4.5,247.9,-2.4,5.2,S
2025-11-23T09:35:59.556-0500,28.384474200000000,-80.6393461,4.4,246,-3.9,7.1,S
2025-11-23T09:36:00.071-0500,28.384468199999997,-80.6393561,4.5,246.9,-2.7,5.6,S
2025-11-23T09:36:00.559-0500,28.384462100000000,-80.6393658,4.6,248.6,-5.2,6.3,S
2025-11-23T09:36:01.082-0500,28.384456199999999,-80.6393759,4.6,249,-4.9,4.2,S
2025-11-23T09:36:01.556-0500,28.384450899999997,-80.6393858,4.5,249.5,-1.4,8.7,S
2025-11-23T09:36:02.060-0500,28.384444999999999,-80.6393954,4.5,248,-4.5,5.2,S
2025-11-23T09:36:02.556-0500,28.384439600000000,-80.639405,4.4,248.2,-0.5,4.4,S
2025-11-23T09:36:03.062-0500,28.384434199999998,-80.6394145,4.3,248.3,1.2,5.8,S
2025-11-23T09:36:03.557-0500,28.384428999999997,-80.6394239,4.3,246.1,4.8,6.1,S
2025-11-23T09:36:04.065-0500,28.384422999999998,-80.6394329,4.3,245.1,-0.4,3,S
2025-11-23T09:36:04.556-0500,28.384416599999998,-80.6394412,4.2,241.6,1.7,6.7,S
2025-11-23T09:36:05.070-0500,28.384409999999999,-80.6394494,4.2,243,-5.1,5.3,S
2025-11-23T09:36:05.557-0500,28.384403599999999,-80.639458,4.2,245.1,-7.4,6.8,S
2025-11-23T09:36:06.073-0500,28.384397699999997,-80.6394668,4.3,245.5,-7.9,5.2,S
2025-11-23T09:36:06.555-0500,28.384391599999997,-80.6394758,4.3,246.8,-8.1,7.1,S
2025-11-23T09:36:07.086-0500,28.384385800000000,-80.6394851,4.3,248,-7.8,5.5,S
2025-11-23T09:36:07.558-0500,28.384380099999998,-80.6394949,4.4,247.5,-5.8,6.8,S
2025-11-23T09:36:08.060-0500,28.384374200000000,-80.6395047,4.5,246.4,-6.4,5.9,S
2025-11-23T09:36:08.556-0500,28.384368100000000,-80.6395147,4.6,246.3,-1.8,5.5,S
2025-11-23T09:36:09.065-0500,28.384362099999997,-80.6395241,4.5,245.3,-2.4,5.8,S
2025-11-23T09:36:09.547-0500,28.384356099999998,-80.6395338,4.5,244.1,0,4.3,S
2025-11-23T09:36:10.067-0500,28.384349699999998,-80.6395427,4.5,242.5,-3.1,6.9,S
2025-11-23T09:36:10.558-0500,28.384343699999999,-80.6395515,4.3,241.1,-1.2,4.3,S
2025-11-23T09:36:11.071-0500,28.384337100000000,-80.6395599,4.3,242.6,-3.9,6.9,S
2025-11-23T09:36:11.557-0500,28.384330700000000,-80.6395683,4.2,242.6,-3.4,4.9,S
2025-11-23T09:36:12.083-0500,28.384324199999998,-80.639577,4.3,242,-5.4,6,S
2025-11-23T09:36:12.557-0500,28.384317599999999,-80.6395856,4.3,242.8,-7,2.6,S
2025-11-23T09:36:13.084-0500,28.384311199999999,-80.6395942,4.3,242.1,-4.8,9.8,S
2025-11-23T09:36:13.559-0500,28.384304199999999,-80.6396029,4.3,243,-10,5.1,S
2025-11-23T09:36:14.060-0500,28.384297799999999,-80.639612,4.4,245.1,-10.3,5.7,S
2025-11-23T09:36:14.557-0500,28.384291699999999,-80.6396216,4.5,245.6,-6.8,6.8,S
2025-11-23T09:36:15.063-0500,28.384285100000000,-80.6396312,4.6,244.6,-7.9,5.9,S
2025-11-23T09:36:15.558-0500,28.384278499999997,-80.639641,4.7,245.1,-7.5,4.8,S
2025-11-23T09:36:16.067-0500,28.384272100000000,-80.6396507,4.7,245.2,-4.5,7.6,S
2025-11-23T09:36:16.557-0500,28.384265899999999,-80.6396604,4.6,244.9,-6.7,5.4,S
2025-11-23T09:36:17.073-0500,28.384259600000000,-80.6396701,4.6,244.5,-5.8,4.3,S
2025-11-23T09:36:17.557-0500,28.384253699999999,-80.6396794,4.5,244.8,-7.5,7.2,S
2025-11-23T09:36:18.082-0500,28.384247599999998,-80.6396892,4.5,246,-5,6.2,S
2025-11-23T09:36:18.556-0500,28.384241099999997,-80.639699,4.6,246.9,-8.6,5.6,S
2025-11-23T09:36:19.058-0500,28.384235000000000,-80.639709,4.6,247,-6.2,6,S
2025-11-23T09:36:19.556-0500,28.384228699999998,-80.6397193,4.7,246.5,-4.3,4.4,S
2025-11-23T09:36:20.061-0500,28.384222299999998,-80.6397294,4.7,246,-6.4,7.6,S
2025-11-23T09:36:20.555-0500,28.384215999999999,-80.6397394,4.8,245.1,-6,6.4,S
2025-11-23T09:36:21.064-0500,28.384209400000000,-80.6397492,4.7,245.3,-4.3,4.1,S
2025-11-23T09:36:21.557-0500,28.384203099999997,-80.6397585,4.6,244.9,-4.3,8.5,S
2025-11-23T09:36:22.067-0500,28.384196599999999,-80.6397685,4.6,246.2,-7.2,4.1,S
2025-11-23T09:36:22.556-0500,28.384190600000000,-80.6397783,4.6,246.8,-4.6,6.3,S
2025-11-23T09:36:23.073-0500,28.384183999999998,-80.639788,4.7,245.9,-6.8,6.6,S
2025-11-23T09:36:23.555-0500,28.384177399999999,-80.6397981,4.7,245.9,-8,4.6,S
2025-11-23T09:36:24.081-0500,28.384170999999998,-80.639808,4.7,245.4,-5.8,5.5,S
2025-11-23T09:36:24.560-0500,28.384164299999998,-80.6398176,4.7,245.8,-5.3,7.6,S
2025-11-23T09:36:25.059-0500,28.384158199999998,-80.6398278,4.7,245.6,-7.3,5.3,S
2025-11-23T09:36:25.556-0500,28.384151799999998,-80.6398379,4.7,244.5,-6.8,6.6,S
2025-11-23T09:36:26.061-0500,28.384145099999998,-80.6398477,4.7,245,-5.6,5.2,S
2025-11-23T09:36:26.545-0500,28.384138900000000,-80.6398578,4.7,244.9,-2.8,7.2,S
2025-11-23T09:36:27.065-0500,28.384132399999999,-80.6398678,4.7,242,-3,5.9,S
2025-11-23T09:36:27.556-0500,28.384125500000000,-80.6398772,4.7,242.7,-3.2,4.3,S
2025-11-23T09:36:28.072-0500,28.384118999999998,-80.6398868,4.7,244.5,-3.9,8.4,S
2025-11-23T09:36:28.556-0500,28.384112800000000,-80.6398963,4.6,245.1,-3.4,4.7,S
2025-11-23T09:36:29.082-0500,28.384106799999998,-80.6399057,4.6,244.4,-4.2,4.2,S
2025-11-23T09:36:29.557-0500,28.384100600000000,-80.6399146,4.4,244.2,-3.8,8,S
2025-11-23T09:36:30.082-0500,28.384094500000000,-80.6399238,4.3,242.6,-3,3.2,S
2025-11-23T09:36:30.557-0500,28.384087899999997,-80.6399327,4.3,242.7,-2.4,10.7,S
2025-11-23T09:36:31.060-0500,28.384081299999998,-80.6399417,4.5,242.7,-6.4,4.8,S
2025-11-23T09:36:31.558-0500,28.384074999999999,-80.6399508,4.4,243.1,-5.7,6.1,S
2025-11-23T09:36:32.063-0500,28.384068700000000,-80.63996,4.4,242.8,-4.6,6.2,S
2025-11-23T09:36:32.546-0500,28.384062199999999,-80.6399691,4.4,241.8,-3.8,5.4,S
2025-11-23T09:36:33.068-0500,28.384055399999998,-80.6399779,4.4,241,-6.7,6.8,S
2025-11-23T09:36:33.557-0500,28.384048799999999,-80.639987,4.4,242.2,-4.5,5.2,S
2025-11-23T09:36:34.078-0500,28.384042699999998,-80.6399961,4.4,242.9,-3.9,5.7,S
2025-11-23T09:36:34.557-0500,28.384036399999999,-80.6400052,4.4,242.6,-2.9,6.5,S
2025-11-23T09:36:35.082-0500,28.384029999999999,-80.6400145,4.5,242.6,-4.1,4.5,S
2025-11-23T09:36:35.559-0500,28.384023499999998,-80.6400234,4.4,242.2,-2.8,8.7,S
2025-11-23T09:36:36.057-0500,28.384016899999999,-80.6400325,4.5,243.4,-6.8,4.8,S
2025-11-23T09:36:36.559-0500,28.384010499999999,-80.640042,4.5,243.9,-3.9,5.7,S
2025-11-23T09:36:37.061-0500,28.384004200000000,-80.6400514,4.4,243.6,-4.8,6.1,S
2025-11-23T09:36:37.557-0500,28.383997899999997,-80.6400608,4.5,242.8,-3.4,6.8,S
2025-11-23T09:36:38.064-0500,28.383991500000000,-80.6400702,4.5,244.1,-0.3,4.3,S
2025-11-23T09:36:38.557-0500,28.383985400000000,-80.6400789,4.4,241.7,-1.5,8.2,S
2025-11-23T09:36:39.067-0500,28.383978899999999,-80.6400878,4.4,242.6,-2.5,3.6,S
2025-11-23T09:36:39.557-0500,28.383972799999999,-80.6400966,4.3,242.6,-0.2,7.4,S
2025-11-23T09:36:40.072-0500,28.383966200000000,-80.6401051,4.3,241.3,-2.3,6,S
2025-11-23T09:36:40.557-0500,28.383960099999999,-80.6401137,4.2,241.5,-0.6,6.2,S
2025-11-23T09:36:41.084-0500,28.383953599999998,-80.6401222,4.2,241.5,-1.8,4.1,S
2025-11-23T09:36:41.557-0500,28.383947299999999,-80.6401305,4.2,240.7,-0.6,7.7,S
2025-11-23T09:36:42.057-0500,28.383940799999998,-80.640139,4.2,241.1,-2,3.1,S
2025-11-23T09:36:42.556-0500,28.383934499999999,-80.6401473,4.2,241,-2.5,7.7,S
2025-11-23T09:36:43.062-0500,28.383927999999997,-80.640156,4.2,241.6,-1.8,4.1,S
2025-11-23T09:36:43.545-0500,28.383921699999998,-80.6401649,4.3,241.7,0.6,7.9,S
2025-11-23T09:36:44.065-0500,28.383915099999999,-80.6401734,4.3,241,-3,4.7,S
2025-11-23T09:36:44.558-0500,28.383908699999999,-80.6401817,4.3,241.7,-2.4,4.2,S
2025-11-23T09:36:45.069-0500,28.383902700000000,-80.6401901,4.2,242.5,-3.5,6.7,S
2025-11-23T09:36:45.555-0500,28.383896799999999,-80.6401987,4.2,241.9,1,7.4,S
2025-11-23T09:36:46.083-0500,28.383890500000000,-80.6402071,4.2,241,-2.7,4,S
2025-11-23T09:36:46.557-0500,28.383884399999999,-80.6402153,4.2,242,-3.2,8.6,S
2025-11-23T09:36:47.081-0500,28.383878299999999,-80.6402238,4.1,242.5,-2,5.1,S
2025-11-23T09:36:47.556-0500,28.383872499999999,-80.6402323,4.1,241.3,-2.2,7.7,S
2025-11-23T09:36:48.058-0500,28.383866500000000,-80.6402404,4.1,241.9,-3.6,4.2,S
2025-11-23T09:36:48.555-0500,28.383861099999997,-80.6402485,4,240.3,-0.8,7.6,S
2025-11-23T09:36:49.063-0500,28.383854499999998,-80.6402567,4,240.8,-4.6,2.4,S
2025-11-23T09:36:49.546-0500,28.383848699999998,-80.6402646,4,240.9,-1.8,8.2,S
2025-11-23T09:36:50.064-0500,28.383842599999998,-80.6402725,4,241.5,-6.1,4.9,S
2025-11-23T09:36:50.556-0500,28.383836700000000,-80.6402807,4,242.7,-2.2,6.3,S
2025-11-23T09:36:51.069-0500,28.383830600000000,-80.6402885,4,241.1,-4.7,6.3,S
2025-11-23T09:36:51.557-0500,28.383824699999998,-80.6402963,4,239.6,-5,6.1,S
2025-11-23T09:36:52.081-0500,28.383818500000000,-80.6403038,3.9,241.5,-7.8,4.9,S
2025-11-23T09:36:52.557-0500,28.383812199999998,-80.6403115,3.8,242.8,-5.4,8.1,S
2025-11-23T09:36:53.059-0500,28.383806000000000,-80.6403195,4,243.8,-10.8,5,S
2025-11-23T09:36:53.555-0500,28.383800799999999,-80.6403282,4,244,-5,6.4,S
2025-11-23T09:36:54.058-0500,28.383795499999998,-80.6403369,4,243.8,-2.1,6.3,S
2025-11-23T09:36:54.555-0500,28.383789999999998,-80.6403452,4,242.2,-2,7.2,S
2025-11-23T09:36:55.063-0500,28.383784100000000,-80.6403536,4.1,241.3,-3.4,3.5,S
2025-11-23T09:36:55.556-0500,28.383778099999997,-80.6403616,4.1,240.6,-5.1,7.5,S
2025-11-23T09:36:56.066-0500,28.383771699999997,-80.6403696,4.1,242.7,-8.2,4.1,S
2025-11-23T09:36:56.556-0500,28.383766299999998,-80.6403779,4,243.5,-3.8,7.3,S
2025-11-23T09:36:57.069-0500,28.383760499999998,-80.6403859,4,242.1,-6.8,5.1,S
2025-11-23T09:36:57.555-0500,28.383754999999997,-80.6403939,3.9,243.4,-5.8,6,S
2025-11-23T09:36:58.080-0500,28.383749299999998,-80.6404021,3.9,242.2,-5,6.3,S
2025-11-23T09:36:58.555-0500,28.383743199999998,-80.6404102,3.9,243.3,-8.8,4.8,S
2025-11-23T09:36:59.060-0500,28.383738299999997,-80.6404184,4,244.8,-2.1,6.1,S
2025-11-23T09:36:59.555-0500,28.383732999999999,-80.640426,3.8,242.5,-4.4,5.8,S
2025-11-23T09:37:00.059-0500,28.383727699999998,-80.6404336,3.8,243,-6.3,5.2,S
2025-11-23T09:37:00.555-0500,28.383722299999999,-80.6404412,3.7,241.8,-3.9,6.3,S
2025-11-23T09:37:01.066-0500,28.383716900000000,-80.6404482,3.7,239.8,-9.3,4.6,S
2025-11-23T09:37:01.557-0500,28.383710799999999,-80.6404551,3.6,241.3,-14.4,6.7,S
2025-11-23T09:37:02.069-0500,28.383705299999999,-80.640463,3.8,246,-11.5,5.4,S
2025-11-23T09:37:02.557-0500,28.383700699999999,-80.6404713,3.8,246.9,-7.4,6.6,S
2025-11-23T09:37:03.071-0500,28.383695599999999,-80.6404798,3.9,243.3,0,6.1,S
2025-11-23T09:37:03.556-0500,28.383689600000000,-80.6404875,3.9,238.8,-5.2,5.9,S
2025-11-23T09:37:04.081-0500,28.383682999999998,-80.6404949,4,240.2,-9.5,5.4,S
2025-11-23T09:37:04.556-0500,28.383676599999998,-80.6405027,4,240.9,-8.1,6.2,S
2025-11-23T09:37:05.059-0500,28.383670199999997,-80.6405109,4.1,242.3,-7.2,6.8,S
2025-11-23T09:37:05.556-0500,28.383663899999998,-80.640519,4.2,242,-9.5,4.5,S
2025-11-23T09:37:06.060-0500,28.383657299999999,-80.6405273,4.2,241.5,-14.1,7.8,S
2025-11-23T09:37:06.545-0500,28.383650499999998,-80.640536,4.3,244.8,-16,6.7,S
2025-11-23T09:37:07.068-0500,28.383644399999998,-80.6405457,4.5,247.7,-9,8.5,S
