timestamp,latitude,longitude,SOG,COG,heel,trim,Tack,bearing_to_waypoint,distance_to_waypoint,angle_to_waypoint,VMG
2025-11-23 09:35:14.556000-05:00,28.3849935,-80.6384562,4.3,244.5,-0.6,2.9,S,268.7149604608244,0.5832497595059026,24.214960460824386,3.921656116565999
2025-11-23 09:35:15.081000-05:00,28.3849872,-80.638465,4.3,243.0,1.4,7.3,S,268.7511102290349,0.5827766760998676,25.751110229034907,3.8729662296191276
2025-11-23 09:35:15.556000-05:00,28.3849808,-80.6384735,4.3,241.0,2.3,3.0,S,268.78794248522274,0.5823195410733477,27.787942485222743,3.8041201454185996
2025-11-23 09:35:16.058000-05:00,28.3849738,-80.6384812,4.2,238.7,-2.8,8.0,S,268.8284646143259,0.5819041581169727,30.128464614325935,3.632589083168069
2025-11-23 09:35:16.557000-05:00,28.3849673,-80.6384887,4.1,239.7,-0.7,4.9,S,268.8661079134315,0.5815002222742599,29.166107913431517,3.5801630804446605
2025-11-23 09:35:17.063000-05:00,28.3849605,-80.6384962,4.1,239.1,-5.8,8.1,S,268.90557919471684,0.5810961934704083,29.80557919471684,3.557639930656757
2025-11-23 09:35:17.556000-05:00,28.3849535,-80.638504,4.2,241.8,-8.9,5.6,S,268.9462611033774,0.5806763759621738,27.146261103377412,3.7373477552061147
2025-11-23 09:35:18.064000-05:00,28.3849471,-80.6385124,4.2,243.7,-9.1,6.1,S,268.98338949957616,0.5802258014071093,25.283389499576174,3.7976669056072994
2025-11-23 09:35:18.559000-05:00,28.3849409,-80.6385212,4.2,245.9,-10.5,5.3,S,269.0193531510264,0.5797545505522743,23.119353151026388,3.8626934753779323
2025-11-23 09:35:19.071000-05:00,28.3849348,-80.6385302,4.3,246.1,-7.8,7.2,S,269.054764204959,0.5792730645336052,22.95476420495899,3.9594961324408446
2025-11-23 09:35:19.556000-05:00,28.3849289,-80.6385394,4.3,246.4,-5.5,5.0,S,269.08902888732507,0.5787814278677426,22.689028887325065,3.9672314564615183
2025-11-23 09:35:20.072000-05:00,28.3849226,-80.6385484,4.4,245.9,-7.5,4.0,S,269.1257470843057,0.5783001947786023,23.22574708430571,4.043416169027488
2025-11-23 09:35:20.555000-05:00,28.3849168,-80.6385579,4.3,245.2,-3.9,10.1,S,269.15951133163327,0.5777932309799134,23.95951133163328,3.9294804133593897
2025-11-23 09:35:21.082000-05:00,28.3849105,-80.6385672,4.4,245.4,-4.4,5.8,S,269.1963288952889,0.5772966096897242,23.796328895288895,4.0259362980089035
2025-11-23 09:35:21.558000-05:00,28.3849044,-80.6385766,4.5,244.5,-7.3,6.1,S,269.23201006376246,0.5767951062828581,24.73201006376246,4.087235616109696
2025-11-23 09:35:22.058000-05:00,28.3848984,-80.638586,4.4,245.0,-6.4,5.9,S,269.26715644311173,0.5762939037196594,24.26715644311173,4.011211681491068
2025-11-23 09:35:22.557000-05:00,28.3848921,-80.6385954,4.5,244.8,-6.0,6.3,S,269.3041562124913,0.5757926993549634,24.504156212491296,4.094690340616549
2025-11-23 09:35:23.062000-05:00,28.384886,-80.638605,4.5,245.0,-5.9,6.0,S,269.34001236725265,0.5752813100061146,24.340012367252655,4.10002053468231
2025-11-23 09:35:23.545000-05:00,28.3848799,-80.6386148,4.5,244.7,-5.3,4.6,S,269.3759207508936,0.5747595825769194,24.675920750893624,4.08907669957984
2025-11-23 09:35:24.064000-05:00,28.3848737,-80.6386244,4.6,244.4,-0.2,7.7,S,269.4125043118282,0.5742485835679852,25.012504311828167,4.168591450179662
2025-11-23 09:35:24.556000-05:00,28.3848672,-80.6386338,4.6,243.9,-6.1,5.7,S,269.45096191499255,0.5737482101285182,25.55096191499254,4.150129236310968
2025-11-23 09:35:25.070000-05:00,28.3848611,-80.6386434,4.5,245.1,-2.9,4.7,S,269.4870767883242,0.5732377461283298,24.387076788324208,4.098495664871752
2025-11-23 09:35:25.556000-05:00,28.3848546,-80.6386527,4.5,243.5,-7.1,6.1,S,269.5256717969028,0.5727431570325496,26.025671796902827,4.04368893296541
